ticker,open_price,close_price,resolved_yes,pnl,prob_bucket
KXTARIFFLENGTHMEX-25-MAR09,0.67,0.81,True,0.33,60-80%
KXDJTJOINTSESSION-25MAR04-PB,0.25,0.99,True,0.75,20-40%
KXDJTJOINTSESSION-25MAR04-IVANKA,0.13,0.01,False,-0.13,0-20%
KXDJTJOINTSESSION-25MAR04-EPSTEIN,0.06,0.99,False,-0.06,0-20%
KXDJTJOINTSESSION-25MAR04-VZ,0.75,0.99,True,0.25,60-80%
KXDJTJOINTSESSION-25MAR04-VP,0.75,0.99,True,0.25,60-80%
KXDJTJOINTSESSION-25MAR04-UKRAINE,0.9,0.99,True,0.1,80-100%
KXDJTJOINTSESSION-25MAR04-RUSSIA,0.9,0.99,True,0.1,80-100%
